"品番","納入先","合格色","不合格色","工場名","発行番号","生地合否判定","合否判定","受付日","製品合否判定","部署","共有メモ","共有チェック"
"30631LR","㈱しまむら","1","","","DL-26-008510","合格","合格","2026/04/07","","","","0"
"4063E8R/4363E8R/4363D8R/4063D8R","㈱しまむら","3","","","DL-26-008513","合格","合格","2026/04/07","","","","0"
"456521R","㈱しまむら","1","","","DL-26-008520","合格","合格","2026/04/07","","","","0"
"CL1000G/HS194005B","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-008152","合格","合格","2026/03/31","合格(追試:合格)〈コメント有〉","","","0"
"X5632ER","㈱しまむら","2","","","DL-26-008321","合格","合格","2026/04/02","合格(追試:合格)","","","0"
"X5631ER","㈱しまむら","3","","","DL-26-008324","合格","合格","2026/04/02","合格(追試:合格)","","","0"
"3163A0R","㈱しまむら","","","","DL-26-008348-1","","合格","2026/04/02","合格","","","0"
"3163A0R","㈱しまむら","","","","DL-26-008348-2","","合格","2026/04/02","合格〈コメント有〉","","","0"
"3163A0R","㈱しまむら","","","","DL-26-008348-3","","合格","2026/04/02","合格","","","0"
"3163A0R","㈱しまむら","","","","DL-26-008348-4","","合格","2026/04/02","合格","","","0"
"X5634ER","㈱しまむら","","","","DL-26-008357","","合格","2026/04/02","合格(追試:合格)","","","0"
"456511R","㈱しまむら","2","","","DL-26-008410","合格","合格","2026/04/03","","","","0"
"3563A0R","㈱しまむら","","","","DL-26-008431-1","","合格","2026/04/03","合格","","","0"
"3563A0R","㈱しまむら","","","","DL-26-008431-2","","合格","2026/04/03","合格","","","0"
"X5639ER","㈱しまむら","2","","","DL-26-008098","合格","合格","2026/04/01","合格","","","0"
"F4633QZ/LBS1717P-3","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-008125-1","合格","合格","2026/03/31","合格(追試:合格)","","","0"
"X4627RR","㈱しまむら","1","","","DL-26-008140","合格","合格","2026/03/31","合格","","","0"
"X5630HR","㈱しまむら","","","","DL-26-008212","","合格","2026/04/01","合格(追試:合格)","","","0"
"X5632HR","㈱しまむら","","","","DL-26-008214","","合格","2026/04/01","合格","","","0"
"X5631HR","㈱しまむら","","","","DL-26-008221","","合格","2026/04/01","合格(追試:合格)","","","0"
"ER630YZ","㈱しまむら","","","","DL-26-008235","","合格","2026/04/01","合格","","","0"
"X563BER","㈱しまむら","2","","","DL-26-008239","合格","合格","2026/04/01","合格(追試:合格)","","","0"
"ER631YZ","㈱しまむら","","","","DL-26-008250","","合格","2026/04/01","合格","","","0"
"X4632ER KING","㈱しまむら","1","","","DL-26-008362","合格","合格","2026/04/02","","","","0"
"X4620ER/X4631ER/X5634ER/X4632ER KING","㈱しまむら","1","","","DL-26-008363","合格","合格","2026/04/02","","","","0"
"EM630EZ","㈱しまむら","2","","","DL-26-007942","合格","合格","2026/03/30","合格","","","0"
"EM632YR/EM633YR","㈱しまむら","3","","","DL-26-008051","合格","合格","2026/03/31","","","","0"
"ER631BR","㈱しまむら","","","","DL-26-008106","","合格","2026/03/31","合格","","","0"
"EM631BR","㈱しまむら","1","","","DL-26-008112","合格","合格","2026/03/31","合格","","","0"
"EM630ER","㈱しまむら","2","","","DL-26-008114","合格","合格","2026/03/31","合格","","","0"
"300TタフタRYN/228TナイロンタスロンRYN","㈱しまむら","2","","","DL-26-008124","合格","合格","2026/03/31","","","","0"
"CL1001G/THB356","㈱しまむら","","","KDW 大連万林進出口有限公司","DL-26-008133","","合格","2026/03/31","合格(追試:合格)","","","0"
"410045X/CL-230550","㈱しまむら","5","","KDW 大連万林進出口有限公司","DL-26-008145","合格","合格","2026/03/31","合格(追試:合格)〈コメント有〉","","","0"
"C5637RR","㈱しまむら","2","","","DL-26-008164-1","合格","合格","2026/03/31","","","","0"
"C563KMA/C563LMA","㈱しまむら","10","","","DL-26-008165-1","合格","合格","2026/03/31","","","","0"
"X4630ER/X5630ER/X5631ER/X5632ER/X5633ER/X5635ER/X5635ER KING/X5636ER/X5636ER KING/X5637ER/X5637ER KING/X5638ER.X5638ER KING/X5639ER/X563AER KING/X563BER KING/X563BER KING","㈱しまむら","3","","","DL-26-008351","合格","合格","2026/04/01","","","","0"
"ER632YR/ER633YR","㈱しまむら","5","","","DL-26-007841","合格","合格","2026/03/30","","","","0"
"C5638RR","㈱しまむら","2","","","DL-26-007846-1","合格","合格","2026/03/30","","","","0"
"C5639RR","㈱しまむら","2","","","DL-26-007869-1","合格","合格","2026/03/30","","","","0"
"Z5632ZA","㈱しまむら","","","","DL-26-007888","","合格","2026/03/30","合格(追試:合格)〈コメント有〉","","","0"
"A4623ER","㈱しまむら","3","","","DL-26-007890","合格","合格","2026/03/30","合格(追試:合格)","","","0"
"ER631LZ","㈱しまむら","","","","DL-26-007914","","合格","2026/03/30","合格","","","0"
"X6623RR","㈱しまむら","","","","DL-26-007918","","合格","2026/03/30","合格(追試:合格)","","","0"
"EM631YZ","㈱しまむら","2","","","DL-26-007928","合格","合格","2026/03/30","合格","","","0"
"Z5633ZA","㈱しまむら","","","","DL-26-007930","","合格","2026/03/30","合格(追試:合格)〈コメント有〉","","","0"
"EM630LZ","㈱しまむら","2","","","DL-26-007932","合格","合格","2026/03/30","合格","","","0"
"Z5634ZA","㈱しまむら","","","","DL-26-007934","","合格","2026/03/30","合格(追試:合格)〈コメント有〉","","","0"
"EM630YZ","㈱しまむら","2","","","DL-26-007938","合格","合格","2026/03/30","合格","","","0"
"F4632QZ","㈱しまむら","3","","KDW 大連万林進出口有限公司","DL-26-007965-1","合格","合格","2026/03/30","合格(追試:合格)","","","0"
"洗濯ネーム","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-007973","合格","合格","2026/03/30","","","","0"
"40630HR","㈱しまむら","3","","","DL-26-008072","合格","合格","2026/03/31","合格(追試:合格)","","","0"
"40631HR","㈱しまむら","2","","","DL-26-008090","合格","合格","2026/03/31","合格(追試:合格)〈コメント有〉","","","0"
"FR0001F/FR0002F/ACY11957","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-006589","合格","合格","2026/03/16","","","","0"
"ER630EZ","㈱しまむら","","","","DL-26-007688","","合格","2026/03/27","合格","","","0"
"X4630HR","㈱しまむら","1","","","DL-26-007691","合格","合格","2026/03/27","合格(追試:合格)","","","0"
"X4631HR","㈱しまむら","1","","","DL-26-007695","合格","合格","2026/03/27","合格(追試:合格)","","","0"
"X4632HR","㈱しまむら","2","","","DL-26-007698","合格","合格","2026/03/27","合格(追試:合格)","","","0"
"ER630LZ","㈱しまむら","","","","DL-26-007702","","合格","2026/03/27","合格","","","0"
"X5638ER","㈱しまむら","3","","","DL-26-007716","合格","合格","2026/03/27","合格(追試:合格)","","","0"
"X5635ER","㈱しまむら","4","","","DL-26-007729","合格","合格","2026/03/27","合格(追試:合格)","","","0"
"3663AHR","㈱しまむら","2","","","DL-26-007733","合格","合格","2026/03/27","合格〈コメント有〉","","","0"
"XR632ER","㈱しまむら","","","","DL-26-007735","","合格","2026/03/27","合格(追試:合格)","","","0"
"XR630ER","㈱しまむら","","","","DL-26-007740","","合格","2026/03/27","合格(追試:合格)","","","0"
"XR631ER","㈱しまむら","","","","DL-26-007747","","合格","2026/03/27","合格(追試:合格)","","","0"
"3163AHR","㈱しまむら","","","","DL-26-007750","","合格","2026/03/27","合格〈コメント有〉","","","0"
"4063C8R","㈱しまむら","2","","","DL-26-007754","合格","合格","2026/03/27","合格(追試:合格)〈コメント有〉","","","0"
"4063B8R","㈱しまむら","2","","","DL-26-007756","合格","合格","2026/03/27","合格(追試:合格)","","","0"
"410044X/CL-230550","㈱しまむら","5","","KDW 大連万林進出口有限公司","DL-26-007795","合格","合格","2026/03/27","合格(追試:合格)〈コメント有〉","","","0"
"4363DHR/4363G8R","㈱しまむら","4","","","DL-26-007833","合格","合格","2026/03/30","","","","0"
"4263AHR","㈱しまむら","3","","","DL-26-007858","合格","合格","2026/03/30","","","","0"
"X5635RR","㈱しまむら","1","","","DL-26-007655","合格","合格","2026/03/26","合格","","","0"
"C4621MA","㈱しまむら","3","","","DL-26-007662","合格","合格","2026/03/26","合格(追試:合格)〈コメント有〉","","","0"
"40633LR/40634LR/40635LR","㈱しまむら","3","","","DL-26-007685","合格","合格","2026/03/27","","","","0"
"42630HR/42630GR","㈱しまむら","2","","","DL-26-007689","合格","合格","2026/03/27","","","","0"
"X4630HR/X4631HR/X4632HR/X5630HR/X5631HR/X5632HR/X4632ER/X5635ER/X5636ER/X5637ER/X5638ER/X5639ER/X563AER/X563BER","㈱しまむら","3","","","DL-26-007980","合格","合格","2026/03/27","","","","0"
"3563A0R 3163A0R","㈱しまむら","1","","","DL-26-007551","合格","合格","2026/03/26","","","","0"
"A4625ER","㈱しまむら","2","","","DL-26-007156","合格","合格","2026/03/23","合格(追試:合格)","","","0"
"300TタフタRYN/228TナイロンタスロンRYN","㈱しまむら","2","","","DL-26-007327","合格","合格","2026/03/24","","","","0"
"XM630EA","㈱しまむら","1","","","DL-26-007353","合格","合格","2026/03/24","合格(追試:合格)〈コメント有〉","","","0"
"XM630MA","㈱しまむら","1","","","DL-26-007359","合格","合格","2026/03/24","合格(追試:合格)〈コメント有〉","","","0"
"X563AER","㈱しまむら","1","","","DL-26-007176","合格","合格","2026/03/23","合格(追試:合格)","","","0"
"44630GR","㈱しまむら","","","","DL-26-007182","","合格","2026/03/23","合格(追試:合格)〈コメント有〉","","","0"
"X5630ER","㈱しまむら","2","","","DL-26-007191","合格","合格","2026/03/23","合格","","","0"
"44630HR","㈱しまむら","","","","DL-26-007204","","合格","2026/03/23","合格(追試:合格)","","","0"
"4063DHR","㈱しまむら","","","","DL-26-007206","","合格","2026/03/23","合格(追試:合格)","","","0"
"40631GR","㈱しまむら","","","","DL-26-007209","","合格","2026/03/23","合格(追試:合格)〈コメント有〉","","","0"
"40630GR","㈱しまむら","","","","DL-26-007211","","合格","2026/03/23","合格(追試:合格)","","","0"
"40632GA","㈱しまむら","1","","","DL-26-007213","合格","合格","2026/03/23","合格(追試:合格)","","","0"
"40630LR/40633LR/40634LR/40635LR","㈱しまむら","2","","","DL-26-007220","合格","合格","2026/03/23","","","","0"
"CL1001G/麻調合織/THB356","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-007255","合格","合格","2026/03/23","","","","0"
"A4623ER/A4625ER","㈱しまむら","4","","","DL-26-006701","合格","合格","2026/03/20","","","","0"
"X4620ER/X4631ER/X5634ER","㈱しまむら","1","","","DL-26-007087","合格","合格","2026/03/23","","","","0"
"3163AHR 3163A0R 3563A0R 3663AHR","㈱しまむら","7","","","DL-26-007099","合格","合格","2026/03/23","","","","0"
"42630HR 42630ZR 42630GR","㈱しまむら","3","","","DL-26-007101","合格","合格","2026/03/23","","","","0"
"4063C8R","㈱しまむら","4","","","DL-26-007102","合格","合格","2026/03/23","","","","0"
"456501R","㈱しまむら","1","","","DL-26-007126","合格","合格","2026/03/23","","","","0"
"4063B8R","㈱しまむら","4","","","DL-26-007127","合格","合格","2026/03/23","","","","0"
"X5637ER","㈱しまむら","2","","","DL-26-006741","合格","合格","2026/03/19","合格","","","0"
"4363C8R","㈱しまむら","","","","DL-26-006929","","合格","2026/03/19","合格(追試:合格)","","","0"
"66636AR","㈱しまむら","","","","DL-26-006932","","合格","2026/03/19","合格(追試:合格)〈コメント有〉","","","0"
"Z5632ZA/Z5633ZA/Z5634ZA/Z5637ZQ/Z5630HA","㈱しまむら","6","","","DL-26-006957-1","合格","合格","2026/03/19","","","","0"
"C4620MA","㈱しまむら","2","","","DL-26-006826","合格","合格","2026/03/18","合格(追試:合格)〈コメント有〉","","","0"
"40630LR 40633LR 40634LR 40635LR","㈱しまむら","1","","","DL-26-006871","合格","合格","2026/03/19","","","","0"
"4363B8R","㈱しまむら","","","","DL-26-006917","","合格","2026/03/19","合格(追試:合格)","","","0"
"44630HA","㈱しまむら","1","","","DL-26-006922","合格","合格","2026/03/19","合格","","","0"
"X5635RR","㈱しまむら","1","","","DL-26-006961","合格","合格","2026/03/19","","","","0"
"X4631WR","㈱しまむら","2","","","DL-26-006529","合格","合格","2026/03/18","合格(追試:合格)","","","0"
"66633ER","㈱しまむら","","","","DL-26-006666","","合格","2026/03/17","合格(追試:合格)","","","0"
"66634JR","㈱しまむら","","","","DL-26-006670","","合格","2026/03/17","合格(追試:合格)〈コメント有〉","","","0"
"66635AR","㈱しまむら","","","","DL-26-006675","","合格","2026/03/17","合格(追試:合格)","","","0"
"430022L/HS224019BT","㈱しまむら","","","KDW 大連万林進出口有限公司","DL-26-006696-1","","合格","2026/03/17","合格(追試:合格)","","","0"
"430022L/HS224019BT","㈱しまむら","","","KDW 大連万林進出口有限公司","DL-26-006696-2","","合格","2026/03/17","合格(追試:合格)〈コメント有〉","","","0"
"XM630ER","㈱しまむら","1","","","DL-26-006722","合格","合格","2026/03/17","合格(追試:合格)","","","0"
"Z5630QR","㈱しまむら","8","","","DL-26-006723-1","合格","合格","2026/03/17","","","","0"
"XM631ER","㈱しまむら","1","","","DL-26-006725","合格","合格","2026/03/17","合格(追試:合格)〈コメント有〉","","","0"
"XM633ER","㈱しまむら","1","","","DL-26-006728","合格","合格","2026/03/17","合格(追試:合格)〈コメント有〉","","","0"
"XM632ER","㈱しまむら","1","","","DL-26-006734","合格","合格","2026/03/17","合格(追試:合格)〈コメント有〉","","","0"
"ER631YR","㈱しまむら","","","","DL-26-006391","","合格","2026/03/13","合格","","","0"
"ER630YR","㈱しまむら","","","","DL-26-006395","","合格","2026/03/13","合格","","","0"
"ER631BZ","㈱しまむら","","","","DL-26-006406","","合格","2026/03/13","合格","","","0"
"4063CHR","㈱しまむら","1","","","DL-26-006502","合格","合格","2026/03/16","合格(追試:合格)","","","0"
"X4632ER","㈱しまむら","1","","","DL-26-006546","合格","合格","2026/03/16","合格(追試:合格)〈コメント有〉","","","0"
"Y5635WR","㈱しまむら","3","","","DL-26-006548","合格","合格","2026/03/16","合格(追試:合格)","","","0"
"FR0001F/FR0002F/ACY11957","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-006590","合格","合格","2026/03/16","","","","0"
"ER632BZ","㈱しまむら","","","","DL-26-006386","","合格","2026/03/13","合格","","","0"
"ER633BZ","㈱しまむら","","","","DL-26-006389","","合格","2026/03/13","合格","","","0"
"ER630EZ/ER630LZ/ER630YZ/ER631LZ/ER631YZ/ER630BZ/ER631BZ/ER632BZ/ER633BZ/ER630LR/EM631BR/ER631BR/ER630BR","㈱しまむら","4","","","DL-26-006405","合格","合格","2026/03/13","","","","0"
"ER630BZ","㈱しまむら","2","","","DL-26-006408","合格","合格","2026/03/13","合格","","","0"
"40630GR","㈱しまむら","1","","","DL-26-006463","合格","合格","2026/03/16","","","","0"
"40632GA","㈱しまむら","3","","","DL-26-006470","合格","合格","2026/03/16","","","","0"
"C5635RR","㈱しまむら","","","","DL-26-006194","","合格","2026/03/11","合格〈コメント有〉","","","0"
"C5636RR","㈱しまむら","","","","DL-26-006200","","合格","2026/03/11","合格","","","0"
"76636VR","㈱しまむら","","","","DL-26-006270","","合格","2026/03/12","合格(追試:合格)","","","0"
"666309R","㈱しまむら","","","","DL-26-006275","","合格","2026/03/12","合格(追試:合格)","","","0"
"76633VR","㈱しまむら","","","","DL-26-006277","","合格","2026/03/12","合格(追試:合格)","","","0"
"G4630JR/1010","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-006316","合格","合格","2026/03/12","合格","","","0"
"F4630KZ/260T","㈱しまむら","4","","KDW 大連万林進出口有限公司","DL-26-006323","合格","合格","2026/03/12","合格","","","0"
"C5635RR","㈱しまむら","2","","","DL-26-006114-1","合格","合格","2026/03/11","","","","0"
"C4621MA/C4636MA/C4620MA/C4635MA/C4637MA/C4630VA","㈱しまむら","3","","","DL-26-006125-1","合格","合格","2026/03/11","","","","0"
"C5634RR","㈱しまむら","","","","DL-26-006154","","合格","2026/03/11","合格〈コメント有〉","","","0"
"30630ER","㈱しまむら","2","","","DL-26-006208","合格","合格","2026/03/11","合格〈コメント有〉","","","0"
"4063CHA","㈱しまむら","1","","","DL-26-006229","合格","合格","2026/03/12","","","","0"
"4363C8R","㈱しまむら","1","","","DL-26-006235","合格","合格","2026/03/12","","","","0"
"66635AR","㈱しまむら","1","","","DL-26-006236","合格","合格","2026/03/12","","","","0"
"40632HA","㈱しまむら","2","","","DL-26-002473","合格","合格","2026/03/11","","","","0"
"40632HA","㈱しまむら","1","","","DL-26-004636","合格","合格","2026/03/11","合格(追試:合格)","","","0"
"430021L/HS224019BT","㈱しまむら","","","KDW 大連万林進出口有限公司","DL-26-006098-1","","合格","2026/03/10","合格(追試:合格)","","","0"
"430021L/HS224019BT","㈱しまむら","","","KDW 大連万林進出口有限公司","DL-26-006098-2","","合格","2026/03/10","合格(追試:合格)〈コメント有〉","","","0"
"430020L/HS224019BT","㈱しまむら","","","KDW 大連万林進出口有限公司","DL-26-006101-1","","合格","2026/03/10","合格(追試:合格)〈コメント有〉","","","0"
"430020L/HS224019BT","㈱しまむら","","","KDW 大連万林進出口有限公司","DL-26-006101-2","","合格","2026/03/10","合格(追試:合格)","","","0"
"66632YR","㈱しまむら","","","","DL-26-005927","","合格","2026/03/09","合格(追試:合格)","","","0"
"EM630YR","㈱しまむら","1","","","DL-26-005938","合格","合格","2026/03/09","合格","","","0"
"EM631YR","㈱しまむら","1","","","DL-26-005942","合格","合格","2026/03/09","合格","","","0"
"EM631BZ","㈱しまむら","2","","","DL-26-005948","合格","合格","2026/03/09","合格","","","0"
"EM630BZ","㈱しまむら","3","","","DL-26-005951","合格","合格","2026/03/09","合格","","","0"
"X4626RR","㈱しまむら","2","","","DL-26-005957","合格","合格","2026/03/09","合格(追試:合格)","","","0"
"A5637RR","㈱しまむら","2","","","DL-26-005799","合格","合格","2026/03/06","合格(追試:合格)","","","0"
"A5632PR","㈱しまむら","2","","","DL-26-005803","合格","合格","2026/03/06","合格(追試:合格)","","","0"
"40630GR/40631GR/44630HR","㈱しまむら","1","","","DL-26-005845","合格","合格","2026/03/09","","","","0"
"40631GR/44630GR","㈱しまむら","1","","","DL-26-005846","合格","合格","2026/03/09","","","","0"
"66633ER","㈱しまむら","1","","","DL-26-005849","合格","合格","2026/03/09","","","","0"
"30630ER","㈱しまむら","2","","","DL-26-005884","合格","合格","2026/03/09","","","","0"
"4063DHR","㈱しまむら","1","","","DL-26-005889","合格","合格","2026/03/09","","","","0"
"4063CER","㈱しまむら","","","","DL-26-005915","","合格","2026/03/09","合格(追試:合格)","","","0"
"416338R","㈱しまむら","2","","","DL-26-005917","合格","合格","2026/03/09","合格(追試:合格)","","","0"
"A4625RR","㈱しまむら","1","","","DL-26-005439","合格","合格","2026/03/02","合格(追試:合格)","","","0"
"A563CRR","㈱しまむら","1","","","DL-26-005703","合格","合格","2026/03/05","合格(追試:合格)","","","0"
"A563CER","㈱しまむら","2","","","DL-26-005712","合格","合格","2026/03/05","合格(追試:合格)","","","0"
"A5633PR","㈱しまむら","1","","","DL-26-005715","合格","合格","2026/03/05","合格(追試:合格)","","","0"
"A5631JER","㈱しまむら","1","","","DL-26-005719","合格","合格","2026/03/05","合格(追試:合格)","","","0"
"A563DER","㈱しまむら","2","","","DL-26-005724","合格","合格","2026/03/05","合格(追試:合格)","","","0"
"A5636PR","㈱しまむら","2","","","DL-26-005726","合格","合格","2026/03/05","合格(追試:合格)","","","0"
"A5632SR","㈱しまむら","2","","","DL-26-005728","合格","合格","2026/03/05","合格(追試:合格)","","","0"
"A563BER","㈱しまむら","2","","","DL-26-005733","合格","合格","2026/03/05","合格(追試:合格)","","","0"
"4063CHA","㈱しまむら","1","","","DL-26-005767","合格","合格","2026/03/06","","","","0"
"4063DHR/4363B8R/4363C8R","㈱しまむら","1","","","DL-26-005770","合格","合格","2026/03/06","","","","0"
"40631HR/4063CHR","㈱しまむら","1","","","DL-26-005774","合格","合格","2026/03/06","","","","0"
"40630HR/40631HR/4063DHR/4063CHR/4363B8R","㈱しまむら","1","","","DL-26-005777","合格","合格","2026/03/06","","","","0"
"4363CHR","㈱しまむら","2","","","DL-26-005808","合格","合格","2026/03/06","合格(追試:合格)","","","0"
"406302A","㈱しまむら","2","","","DL-26-005810","合格","合格","2026/03/06","合格(追試:合格)〈コメント有〉","","","0"
"XM630EA/XM630ER","㈱しまむら","3","","","DL-26-004827-1","合格","合格","2026/03/04","","","","0"
"XM631ER/XM633ER/XM632ER","㈱しまむら","3","","","DL-26-004866-1","合格","合格","2026/03/04","","","","0"
"436302A","㈱しまむら","2","","","DL-26-005628","合格","合格","2026/03/04","合格(追試:合格)","","","0"
"XM630MA/XM630EA","㈱しまむら","4","","","DL-26-005650-1","合格","合格","2026/03/04","","","","0"
"C5636RR","㈱しまむら","2","","","DL-26-005565-1","合格","合格","2026/03/03","","","","0"
"ER630EZ/ER630LZ/ER630YZ/ER631LZ/ER631YZ/ER630BZ/ER631BZ/ER632BZ/ER633BZ/ER630LR/EM631BR/ER631BR/ER630BR","㈱しまむら","11","","","DL-26-005577","合格","合格","2026/03/03","","","","0"
"EM630MT/EM631YR/EM630YR/EM630BZ/EM631BZ/EM630EZ/EM630YZ/EM631YZ/EM630LZ/EM631LZ/EM630BR/EM630ER/EM630LR/EM631ER","㈱しまむら","13","","","DL-26-005580","合格","合格","2026/03/03","","","","0"
"40637HA","㈱しまむら","1","","","DL-26-005626","合格","合格","2026/03/04","合格(追試:合格)","","","0"
"A6622DR","㈱しまむら","9","","","DL-26-005332","合格","合格","2026/02/28","合格(追試:合格)〈コメント有〉","","","0"
"A4621DR","㈱しまむら","3","","","DL-26-005335","合格","合格","2026/02/28","合格(追試:合格)〈コメント有〉","","","0"
"XR630MA","㈱しまむら","3","","","DL-26-005356","合格","合格","2026/03/02","","","","0"
"C5634RR","㈱しまむら","6","","","DL-26-005378-1","合格","合格","2026/03/02","","","","0"
"C563EMA","㈱しまむら","1","","","DL-26-005395","合格","合格","2026/03/03","合格〈コメント有〉","","","0"
"66631HR","㈱しまむら","","","","DL-26-005410","","合格","2026/03/02","合格(追試:合格)","","","0"
"406312A","㈱しまむら","3","","","DL-26-005413","合格","合格","2026/03/02","合格(追試:合格)〈コメント有〉","","","0"
"A4621MR","㈱しまむら","3","","","DL-26-005428","合格","合格","2026/03/02","合格(追試:合格)","","","0"
"A4620ER","㈱しまむら","2","","","DL-26-005432","合格","合格","2026/03/02","合格(追試:合格)","","","0"
"A4623PR","㈱しまむら","2","","","DL-26-005444","合格","合格","2026/03/02","合格(追試:合格)","","","0"
"F4633YR/カラーヒッコリー","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-005447","合格","合格","2026/03/02","合格(追試:合格)","","","0"
"F4631YR/カラーヒッコリー","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-005449","合格","合格","2026/03/02","合格(追試:合格)","","","0"
"A4626RR","㈱しまむら","3","","","DL-26-005453","合格","合格","2026/03/02","合格(追試:合格)","","","0"
"F4632YR/カラーヒッコリー","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-005277-1","合格","合格","2026/02/27","合格(追試:合格)","","","0"
"G4630UR/デュスボ","㈱しまむら","4","","KDW 大連万林進出口有限公司","DL-26-005281-1","合格","合格","2026/02/27","合格(追試:合格)","","","0"
"F4630YR/DL1480","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-005319","合格","合格","2026/02/28","合格(追試:合格)","","","0"
"43638HA","㈱しまむら","1","","","DL-26-005340","合格","合格","2026/02/28","合格(追試:合格)","","","0"
"40631GA","㈱しまむら","1","","","DL-26-005344","合格","合格","2026/02/28","合格(追試:合格)","","","0"
"40639HA","㈱しまむら","1","","","DL-26-005347","合格","合格","2026/02/28","合格(追試:合格)","","","0"
"40636HA","㈱しまむら","1","","","DL-26-005349","合格","合格","2026/02/28","合格(追試:合格)","","","0"
"G4631UR/1010","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-005124","合格","合格","2026/02/25","合格","","","0"
"X5631MR/A5620DR/A5620WR/A5623PR/A5623RR/A5624ER/A5624RR/A5625ER/A5625RR/A5626ER/A5626RR/A5627ER/A5621MR/A5622RR/A5623ER/A563BER/A563CER/A563DER/A5637RR/A5632SR/A5636PR/A563CRR/A563JER/A5632PR/A5633PR","㈱しまむら","15","","","DL-26-005242","合格","合格","2026/02/27","","","","0"
"4063BHR","㈱しまむら","","","","DL-26-005248","","合格","2026/02/27","合格","","","0"
"4463AHR","㈱しまむら","","","","DL-26-005250","","合格","2026/02/27","合格〈コメント有〉","","","0"
"4063AER","㈱しまむら","","","","DL-26-005252","","合格","2026/02/27","合格","","","0"
"4063AHR","㈱しまむら","","","","DL-26-005254","","合格","2026/02/27","合格","","","0"
"41630EA","㈱しまむら","1","","","DL-26-005256","合格","合格","2026/02/27","合格(追試:合格)","","","0"
"4363AER","㈱しまむら","2","","","DL-26-005261","合格","合格","2026/02/27","合格(追試:合格)","","","0"
"4363AHR","㈱しまむら","2","","","DL-26-005263","合格","合格","2026/02/27","合格(追試:合格)","","","0"
"4363CHR","㈱しまむら","2","","","DL-26-005318","合格","合格","2026/02/28","","","","0"
"4063CHA","㈱しまむら","1","","","DL-26-005322","合格","合格","2026/02/28","","","","0"
"A4320WR/A4353W/A4550PR/A4622PR/A4623RR/A4624DR/A6322WR/A6350W/A6621DR/A6621PR/A6551RR/A6620RR/Y4621DR/Y6622DR/A4621DR/A6622DR","㈱しまむら","13","","","DL-26-005329","合格","合格","2026/02/28","","","","0"
"X4622RR/X4624RR/X5630RR/X5632RR/X5633RR/X6621RR/X6622RR/X5631WR/X4626RR/X6623RR","㈱しまむら","4","","","DL-26-005421","合格","合格","2026/02/28","","","","0"
"76630SR","㈱しまむら","","","","DL-26-005194","","合格","2026/02/26","合格(追試:合格)","","","0"
"76631SR","㈱しまむら","","","","DL-26-005196","","合格","2026/02/26","合格(追試:合格)","","","0"
"76632SR","㈱しまむら","","","","DL-26-005198","","合格","2026/02/26","合格(追試:合格)〈コメント有〉","","","0"
"F4631MR/21*21TC","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-005112-1","合格","合格","2026/02/25","合格(追試:合格)","","","0"
"F4631MR/1010","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-005112-2","合格","合格","2026/02/25","合格","","","0"
"30630HA","㈱しまむら","1","","","DL-26-005183","合格","合格","2026/02/26","合格(追試:合格)","","","0"
"76634KR","㈱しまむら","","","","DL-26-005187","","合格","2026/02/26","合格(追試:合格)","","","0"
"PO6057X/CH5435","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-004353-1","合格","合格","2026/02/06","合格","","","0"
"PO6057X/CH5435","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-004353-2","合格","合格","2026/02/06","合格(追試:合格)","","","0"
"Y5632RR","㈱しまむら","","","","DL-26-004868","","合格","2026/02/12","合格〈コメント有〉","","","0"
"Y5635RR","㈱しまむら","1","","","DL-26-004914","合格","合格","2026/02/11","合格(追試:合格)","","","0"
"66634JR","㈱しまむら","1","","","DL-26-005012","合格","合格","2026/02/13","","","","0"
"76632SR","㈱しまむら","1","","","DL-26-005015","合格","合格","2026/02/13","","","","0"
"76630SR","㈱しまむら","1","","","DL-26-005018","合格","合格","2026/02/13","","","","0"
"C4632MA","㈱しまむら","1","","","DL-26-005043","合格","合格","2026/02/13","合格(追試:合格)","","","0"
"C4633MA","㈱しまむら","1","","","DL-26-005047","合格","合格","2026/02/13","合格(追試:合格)","","","0"
"C4634MA","㈱しまむら","1","","","DL-26-005050","合格","合格","2026/02/13","合格(追試:合格)","","","0"
"X4631WR","㈱しまむら","2","","","DL-26-004549-1","合格","合格","2026/02/09","","","","0"
